ID,Date,Extent_km,Cer,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,urban_1850,urban_1900,urban_1950,urban_2000
"51","1967",1.845,"50",0,0,0,0,-0.363149483688176,-0.332819749601185,-0.247898508794606,-0.0235449345782399,-5.95741107812207e-014,-5.95741107812207e-014,0,0
"52","1967",10.95,"75",0,0,0,0,-0.402907162904739,-0.399728327989578,-0.356950789690018,-0.17171984910965,0,0,0,0
"53","1966",3.42,"100",-0.00634838920086622,-0.00629436690360308,-0.00317701790481806,-0.000998529605567455,0,0,0,0,0,0,0,0
"54","1964",18.53,"75",-0.469374239444733,-0.444423854351044,-0.236594438552856,-0.0632509887218475,0,0,0,0,0.0106685729697347,0.0106685729697347,0.0106685729697347,0.00457834685221314
"55","1964",2.87,"100",0,0,0,0,-0.141017451882362,-0.124107971787453,-0.0837159901857376,0,0.0779676069505513,0.0761892297305167,0.0598935559391975,0.0281851813197136
"56","1963",5.28,"75",-0.962499678134918,-0.85001939535141,-0.237967312335968,-0.114068642258644,0,0,0,0,0.0396152325411094,0.0384017400210723,0.0269592991098762,0.0182349383831024
"57","1963",5.28,"75",-0.962499678134918,-0.85001939535141,-0.237967312335968,-0.114068642258644,0,0,0,0,0.0396152325411094,0.0384017400210723,0.0269592991098762,0.0182349383831024
"58","1963",5.28,"50",-0.962499678134918,-0.85001939535141,-0.237967312335968,-0.114068642258644,0,0,0,0,0.0396152325411094,0.0384017400210723,0.0269592991098762,0.0182349383831024
"59","1963",5.28,"75",-0.962499678134918,-0.85001939535141,-0.237967312335968,-0.114068642258644,0,0,0,0,0.0396152325411094,0.0384017400210723,0.0269592991098762,0.0182349383831024
"60","1963",5.28,"75",-0.962499678134918,-0.85001939535141,-0.237967312335968,-0.114068642258644,0,0,0,0,0.0396152325411094,0.0384017400210723,0.0269592991098762,0.0182349383831024
"61","1963",5.28,"75",-0.962499678134918,-0.85001939535141,-0.237967312335968,-0.114068642258644,0,0,0,0,0.0396152325411094,0.0384017400210723,0.0269592991098762,0.0182349383831024
"62","1962",369.22,"100",0,0,0,0,-0.168122651439376,-0.148911970120139,-0.110893430572219,-0.010578660678334,0,0,0,0
"63","1962",369.22,"100",0,0,0,0,-0.168122651439376,-0.148911970120139,-0.110893430572219,-0.010578660678334,0,0,0,0
"64","1962",369.22,"100",0,0,0,0,-0.168122651439376,-0.148911970120139,-0.110893430572219,-0.010578660678334,0,0,0,0
"65","1962",714.01,"100",-0.267281860113144,-0.253151088953018,-0.123940855264664,-0.0067334771156311,0,0,0,0,0,0,0,0
"66","1962",714.01,"100",-0.267281860113144,-0.253151088953018,-0.123940855264664,-0.0067334771156311,0,0,0,0,0,0,0,0
"67","1962",714.01,"100",-0.267281860113144,-0.253151088953018,-0.123940855264664,-0.0067334771156311,0,0,0,0,0,0,0,0
"68","1962",714.01,"100",-0.267281860113144,-0.253151088953018,-0.123940855264664,-0.0067334771156311,0,0,0,0,0,0,0,0
"69","1961",298.28,"100",,,,,,,,,,,,
"70","1961",324.34,"100",0,0,0,0,-0.185905646532774,-0.166402172297239,-0.112959932535887,-0.0231972075998783,0,0,0,0
"71","1961",1008.51,"100",0,0,0,0,-0.646293573081493,-0.612607710063457,-0.280697278678417,-0.00754600763320923,0,0,0,0
"72","1961",307.34,"100",,,,,,,,,,,,
"73","1961",330.22,"100",,,,,,,,,,,,
"74","1961",1008.51,"100",0,0,0,0,-0.646293573081493,-0.612607710063457,-0.280697278678417,-0.00754600763320923,0,0,0,0
"75","1961",2.87,"100",0,0,0,0,-0.141017451882362,-0.124107971787453,-0.0837159901857376,0,0.0779676069505513,0.0761892297305167,0.0598935559391975,0.0281851813197136
"76","1959",435.46,"100",-0.506081700325012,-0.406692057847977,-0.23332317173481,0,0,0,0,0,0,0,0,0
"77","1958",1.87,"100",0,0,0,0,-0.267780125141144,-0.232305273413658,0,0,0.0296915316721424,0.0273187693674117,0.0251417439430952,0.00965073145925999
"78","1958",598.62,"100",0,0,0,0,-0.412747129797935,-0.407927855849266,-0.346413895487785,-0.168094918131828,0,0,0,0
"79","1957",1009.92,"100",0,0,0,0,-0.173230025917292,-0.172989625483751,-0.127202648669481,-0.026237990707159,0.00133356533478945,0.00133356533478945,0.00133356533478945,0.000412009481806308
"80","1957",395.25,"100",0,0,0,0,-0.445311188697815,-0.443307280540466,-0.353733479976654,-0.150100231170654,0.0161688017178676,0.0160864695790224,0.0157482665963471,0.00315225217491388
"81","1957",6.35,"100",0,0,0,0,-0.18885549902916,-0.18805468082428,-0.0427664406597614,-0.00234321691095829,0.0117634547641501,0.0105150081217289,0.00701974658295512,0.00263193342834711
"82","1956",5.12,"100",-0.118012741208076,-0.115387544035912,-0.0996842235326767,-0.0208815485239029,0,0,0,0,0.04687764425762,0.0449188556522131,0.0425112866796553,0.0227524638175964
"83","1954",433.33,"75",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
"84","1954",294.28,"100",,,,,,,,,,,,
"85","1954",0.301,"50",-0.153156399726868,-0.148152410984039,-0.114222347736359,-0.0179913341999054,0,0,0,0,0.00186439510434866,0.00186439510434866,0.00186439510434866,0.000706588616594672
"86","1954",0.301,"50",-0.917961083352566,-0.875869296491146,-0.524451516568661,-0.361513130366802,0,0,0,0,0,0,0,0
