ecatalogue_key,DarCatalogNumber,Date,DarFamily,DarScientificName,DarTypeStatus,DarPrep,Seen in Collections,DarAge,DarCountry,CatKindOfCollection,DarContinentOcean,DarDecimalLatitude,DarDecimalLongitude,DarLocality,AquNamedTributary1,Locality,Keep ,Lat,Long,Extent ,Cer,Notes,LocNhmVerbatimLocality,MovedTo,DarOrigin,DarOldRisplipLocationLables,DarNotes,,
53,,,Crocodylidae,Crocodylus niloticus,,,Y,,Sierra Leone,Skin,,,,,,,Y,8.55950497,-11.78950577,183.87,100.00,,,,Colonial and Indian Exhibition 1886,,"Unregistered, but in NHM dry collections (A1.3)",,
54,1865.3.4.5,1855,Crocodylidae,Crocodylus niloticus,,Spirit,,Young,Madagascar,,,,,,,,Y,-20.9852726,46.06554376,1008.51,100.00,,,,Purch: Mr Wight,,"Rep.March.1855, most data consistent across catalogue, Emu and register",,
55,1961.37,1961,Crocodylidae,Crocodylus niloticus,,,,Egg,Madagascar,,,,,,,,Y,-20.9852726,46.06554376,1008.51,100.00,,,,"Tring Mus. Collin, Edward Bartlett",,"most data consistent across catalogue, Emu and register",,
56,1908.7.24.2,1908,Crocodylidae,Crocodylus niloticus,,Spirit,,Young,Liberia,,,,,,,,Y,6.283979841,-9.327475621,283.64,100.00,,,,Coll: Dr A.McCloy,,"most data consistent across catalogue, Emu and register",,
57,1904.10.10.1,1904,Crocodylidae,Crocodylus niloticus,,,,Hgr,Kenya,Skull,,,,Fort Hall,,Fort Hall,N,,,,,,,,Dr. S.C. Hinde ,,,,
58,1897.11.13.1,1897,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Sudan,,,,,Wadi Halfa,,Wadi Halfa,Y,21.80058006,31.3689695,5.91,100.00,,,,Pres: Dr J.Anderson,,"most data consistent across catalogue, Emu and register",,
59,1862.11.9.20,1862,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,Young,South Africa,,,,,Port Natal,,Port Natal,Y,-29.86241647,30.9730794,10.47,75.00,Mid point coordinates eyeballed,,,Pres:MrSergent ,,"most data consistent across catalogue, Emu and register",,
60,1862.1.24.52,1862,Crocodylidae,Crocodylus niloticus,,,,,Nigeria,,,,,Old Calabar,,Old Calabar,Y,4.963099359,8.318828236,1.04,75.00,Mid point coordinates eyeballed,,,Coll:Pres Andrew Murray,,"most data consistent across catalogue, Emu and register",,
61,1882.3.7.1,1882,Crocodylidae,Crocodylus niloticus,,,Y,Hgr,Madagascar,Skull,,,,Betsileo,,Betsileo,Y,-20.9852726,46.06554376,1008.51,100.00,Precise locality unclear so used country ,,,,,"most data consistent across catalogue, Emu and register",,
62,1961.29,1961,Crocodylidae,Crocodylus niloticus,,Egg,,,Malawi,,,,,Lake Nyasa,,Lake Nyasa,Y,-0.73769552,33.4485315,307.34,100.00,,,,Tring Mus. Collin,,"most data consistent across catalogue, Emu and register",,
63,1926.5.8.54,1926,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Malawi,,,,,"Bar House, Fort Johnston, S. Lake Nyasa",,"Bar House, Fort Johnston, S. Lake Nyasa",Y,-14.48566757,35.25366754,2.29,100.00,,,,Pres: Dr.Christy ,,"most data consistent across catalogue, Emu and register",,
64,1969.1565,1969,Crocodylidae,Crocodylus niloticus,,Dry,,,Ethiopia,Skeleton,,,,S.W. corner of Lake Abaya,,S.W. corner of Lake Abaya,N,,,,,,,,Call:Pres:R.M. Sandhurat Expedition ,, Male,,
65,1864.1.9.17,1864,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Mozambique,,,,,Tette,,Tette,Y,-16.13275422,33.60647801,6.55,100.00,,,,Pres:Sir J.Kirk,,"Register only lists genus (Crocodylus ),there is information in the green book that is not in red book",,
66,1845.3.29.13,1845,Crocodylidae,Crocodylus niloticus,,Skeleton ,Y,Young,Africa,,,,,Africa,,Africa,Y,6.354401399,23.00245229,4865.12,75.00,Mid point coordinates eyeballed,,,,,"Kew? (from register), now in NHM dry collection, most data consistent across catalogue, Emu and register",,
67,1864.7.13.21,1864,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Angola,,,,,Pongo Adongo,,Pongo Adongo,Y,-9.65015001,15.59421566,5.08,100.00,Extent half the distance to Bote (nearest named place),,,Pres:Dr Welwitsch ,,"Register catalogue only lists genus (Crocodylus ),information in the green book that is not in red book",,
68,1899.8.23.1,1899,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Niger,,,,,"Djebba, Upper Niger",,"Djebba, Upper Niger",Y,17.47799812,9.698591539,997.79,100.00,Precise locality unclear so used country ,at Ruslip (Wandsworth)?,,Pres:Col. Lugard,,"most data consistent across catalogue, Emu and register",,
69,1900.9.22.1,1900,Crocodylidae,Crocodylus niloticus,,Spirit,,Young,Sudan,,,,,Bahr Zaraf,,Bahr Zaraf,Y,9.280006269,31.02791503,5.75,100.00,Extent half the distance to Nurlonga (nearest named place),,,Coll: Pres Stanley S. Flower,,"most data consistent across catalogue, Emu and register",,
70,1909.3.29.1,1909,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Somalia,,,,,"Bawira, Somaliland",,"Bawira, Somaliland",Y,9.000745433,44.00153919,2100.19,75.00,Mid point coordinates eyeballed,,,Coll: Ferrandi,,"most data consistent across catalogue, Emu and register",,
71,1929.3.13.1,1926,Crocodylidae,Crocodylus niloticus,,Stuffed,,,Niger,,,,,"Near Illushie, Lower Niger",,"Near Illushie, Lower Niger",Y,6.666427901,6.630485326,0.51,75.00,Mid point coordinates eyeballed,,,Pres: Lord Leverhulme,,"In Old Gallery, most data consistent across catalogue, Emu and register",,
72,1931.2.8.1,1931,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,Egg,Mozambique,,,,,Gazaland,,Gazaland,Y,-16.85004275,35.95,1086.65,100.00,Precise locality unclear so used country ,??,,Pres: Mrs E.D. Earthy,,"most data consistent across catalogue, Emu and register",,
73,1931.5.3.1,1931,Crocodylidae,Crocodylus niloticus,,,Y,Young,Uganda,Skull,,,,"River Nile, Matunda Ferry, Bunyoro, 3700ft",,"River Nile, Matunda Ferry, Bunyoro, 3700ft",Y,1.553692858,32.29344387,433.33,100.00,Precise locality unclear so used country ,,,"Coll, Pres: F. Jardine",,"most data consistent across catalogue, Emu and register",,
74,1931.5.3.2,1931,Crocodylidae,Crocodylus niloticus,,,,,Uganda,Skull,,,,"Lake Albert, River Nile, Matunda Ferry, Bunyoro, 3700ft",,"River Nile, Matunda Ferry, Bunyoro, 3700ft",N,,,,,,,,"Pre: Game Ranger Masidi? Uganda, East Africa",,,,
75,1936.7.1.1,1936,Crocodylidae,Crocodylus niloticus,,Stuffed,,Young,Kenya,Tanned skins,,,,Kenya Tour,,Kenya Tour,Y,0.549448186,37.96458233,598.62,100.00,,at Ruslip (Wandsworth),,Pres: Duke of Gloucester,,"Listed as 1-2, but no specimin 2nd at Wandsworth with it, Kenya Tour, most data consistent across catalogue, Emu and register",,
76,1937.9.3.1,1937,Crocodylidae,Crocodylus niloticus,,,,Egg,Liberia,,,,,"Dhu River, Moravia",,"Dhu River, Moravia",Y,6.296604479,-10.7443963,10.17,100.00,,,,Pres: Mrs Kennedy,,"most data consistent across catalogue, Emu and register",,
77,1958.1.3.70,1958,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,Young,Nigeria,,,,,"Due east of Bauchi, Northern Province",,"Due east of Bauchi, Northern Province",Y,10.30780002,9.84349317,1.87,100.00,Extent half the distance to Yakoba (nearest named place),,,Coll:Pres:Mr:Coulthard,,"most data consistent across catalogue, Emu and register",,
78,1959.1.8.55,1959,Crocodylidae,Crocodylus niloticus,,,,,Nigeria,,,,,"Cross River, Southern Nigeria",,"Cross River, Southern Nigeria",N,,,,,,,,,,,,
79,1970.1479,1835,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Ethiopia,,,,,"Sirkoli River, tributary of Sumati River, between Belfodi and Qezan",,"Sirkoli River, tributary of Sumati River, between Belfodi and Qezan",Y,8.686657805,39.57281589,926.69,100.00,Precise locality unclear so used country ,,,Coll:Pres: R.H.R. Taylor,,18th May 1935 in small pool above main stream of 50A wide shallow river,,
80,1974.393,1974,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Ethiopia,,,,,No locality details but probably from Ethiopia,,No locality details but probably from Ethiopia,Y,8.686657805,39.57281589,926.69,100.00,,,,Coll:Pres: M. Gadjacs,,"1946? Most data consistent across catalogue, Emu and register",,
81,1979.771,1979,Crocodylidae,Crocodylus niloticus,,,,,Kenya,Tanned skins,,,,Mailed from Nairobi,,Mailed from Nairobi,Y,-1.296338824,36.84462678,22.14,50.00,,,,,,"West. Africa. Most data consistent across catalogue, Emu and register",,
82,1927.4.23.1,1927,Crocodylidae,Crocodylus niloticus,,,,,Tanzania,,,,,Ujiji,,"Ujiji, Kigoma",N,,,,,,,,,,,,
83,1927.4.23.2,,Crocodylidae,Crocodylus niloticus,,,,,Tanzania,,,,,Ujiji,,"Ujiji, Kigoma",N,,,,,,,,,,,,
84,1908.12.28.26,1908,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,South Africa,,,,,Natal,,Natal,Y,-28.91908122,30.64612796,319.31,75.00,Mid point coordinates eyeballed,,,Coll: Dr Gibb,,"Dr Gib not in register, Most data consistent across catalogue, Emu and register",,
85,1961.28,1961,Crocodylidae,Crocodylus niloticus,,,,Egg,,,,,,Lake Tanganyika,,Lake Tanganyika,Y,-6.16719478,29.50584015,330.22,100.00,,,,"Tring Mus Coll, Capt Moore",,"Most data consistent across catalogue, Emu and register",,
86,1950.1.1.26,1950,Crocodylidae,Crocodylus niloticus,,,,,Sierra Leone,,,,,South West Sierra Leone,Bom Kittam River,"Bom Kittam River, S.W. Sierra Leone",N,,,,,,,,,,,,
